2007,Box Set,1353
1982,CD,80
1997,File,158
0,Microcassette,23
1993,Vinyl,47253
2005,File,9702
1995,Minidisc,80
1980,Box Set,660
2016,Flexi-disc,251
2002,Betacam SP,112
1994,File,10
1990,Reel-To-Reel,15
1996,Betacam SP,13
1998,CDV,3
2005,All Media,1006
1999,Box Set,768
2007,CDr,23187
1967,Cassette,229
0,HD DVD,8
2006,MiniDV,1
2001,UMD,3
1984,Video8,2
1979,Betamax,2
1971,Shellac,2
2018,Wire Recording,1
2018,Cylinder,1
1914,Shellac,454
1907,Shellac,139
2016,Cassette,18444
1957,Box Set,84
2010,DAT,3
2004,Blu-ray,5
1894,Shellac,1
1937,Lathe Cut,1
1944,Acetate,1
2002,File,2338
1935,Shellac,1509
2015,Flexi-disc,258
1986,Acetate,180
1956,Flexi-disc,11
2017,Shellac,3
1999,Vinyl,44791
2006,DVD,7820
2004,Box Set,1012
1973,Flexi-disc,422
1991,CDr,94
1985,Laserdisc,184
1970,Acetate,71
1965,Reel-To-Reel,178
2002,Lathe Cut,43
1991,CDV,5
1997,8-Track Cartridge,1
0,VHD,3
1994,Vinyl,47393
1995,Laserdisc,139
1949,Shellac,3099
2014,All Media,2183
1981,Laserdisc,33
1983,8-Track Cartridge,122
1976,All Media,55
1985,Video8,3
2002,DVDr,80
2015,CD,70761
2017,Memory Stick,192
0,Betacam SP,71
1982,8-Track Cartridge,197
1984,VHD,8
1981,Elcaset,1
2005,Shellac,1
1997,VHS,1014
2016,Floppy Disk,90
1988,8-Track Cartridge,11
2008,CDV,4
1994,Box Set,610
2015,VHS,70
1994,Cassette,26949
2003,Box Set,1024
1996,Flexi-disc,31
1996,CDV,4
-1,CD,126
2017,VHS,60
2013,Reel-To-Reel,8
1975,Cassette,3338
1964,Vinyl,50864
2014,Cassette,14564
1965,Box Set,213
1975,Reel-To-Reel,85
2012,Hybrid,14
2013,Microcassette,2
1922,Pathé Disc,6
1998,Lathe Cut,132
1943,Shellac,839
2013,All Media,1938
1997,Laserdisc,81
