2000,Progressive Trance,2715
2006,Ballad,774
2001,Musique Concrète,177
1995,Noise,1031
2002,House,15506
1991,Electro,1499
2004,Gabber,617
2005,Pop Rock,2036
1980,Jazz-Rock,48
1996,Batucada,22
1983,Prog Rock,345
1989,Britcore,9
0,Synth-pop,35714
0,Jumpstyle,531
2007,Country,46
2005,Folk,265
1986,Dance-pop,194
1978,Art Rock,138
2010,Political,13
2002,Ska,57
1987,Rockabilly,36
2014,Power Electronics,1327
1982,Soul-Jazz,11
2011,Gabber,778
2014,Ragga,65
1985,Hindustani,18
2015,Post-Modern,64
2009,Gangsta,67
0,Folk Metal,13
2017,Indie Rock,843
2003,Harsh Noise Wall,1
2018,Easy Listening,58
2002,Neo-Romantic,3
1983,MPB,17
2018,Pornogrind,9
1998,Country Blues,5
1970,Prog Rock,32
2010,Bassline,50
1998,Reggaeton,7
1987,Indie Pop,19
2005,Hard Techno,93
1987,Acid Jazz,44
1979,Lounge,6
1986,Funk Metal,6
1986,Interview,17
2000,Overtone Singing,3
2013,Persian Classical,1
2011,Batucada,7
2013,Acid Rock,21
2014,Boogie Woogie,2
2014,Mento,1
2012,Piano Blues,3
2012,Funeral Doom Metal,6
0,Ranchera,5
1977,Reggae,18
1979,No Wave,15
2008,Deep Techno,28
2015,New Jack Swing,7
2003,Special Effects,16
1984,Big Beat,3
1996,Sound Art,4
2011,Celtic,21
1995,Speech,11
2003,Swamp Pop,1
0,Korean Court Music,1
2010,Merengue,4
2000,Nursery Rhymes,5
2013,Sermon,2
1996,Rocksteady,5
2000,Bounce,4
2001,Trova,1
2011,Modern Electric Blues,5
2019,Latin Jazz,1
2004,Progressive Metal,2
2015,Quechua,3
1995,Power Metal,1
1998,Beatdown,1
1977,Renaissance,1
2003,Catalan Music,1
2013,Noisecore,1
0,Piedmont Blues,1
2001,Ambient,3874
1990,Acid,134
1998,Goa Trance,634
1988,Soul,1269
2002,Soundtrack,417
2001,Hard Techno,45
2009,Disco,2638
2006,J-pop,244
2008,Hardstyle,1110
1996,MPB,10
1992,Bass Music,131
1994,Southern Rock,9
1992,Neo Soul,87
1992,Lounge,31
1973,Ambient,73
2011,Folk,498
2012,Happy Hardcore,1219
2011,Nu-Disco,87
2013,Vocal,586
2014,Post Rock,689
2011,Ska,49
2001,Ragga,64
2013,Rock & Roll,82
1994,Breakcore,5
1981,Salsa,4
1997,Smooth Jazz,106
1984,New Beat,19
2007,Eurobeat,273
1991,Southern Rock,17
1977,Free Jazz,26
1997,Gospel,31
2007,Military,17
2005,Fado,1
2009,Indian Classical,11
2004,Fado,8
2010,Space-Age,35
2014,Psychobilly,7
2018,Jazzdance,57
1973,P.Funk,3
1990,Britcore,9
1972,Flamenco,4
1977,Soul-Jazz,24
2005,Viking Metal,9
1984,Blues Rock,24
2017,G-Funk,26
2014,Ska,39
1989,Mbalax,1
1975,Special Effects,6
1995,Viking Metal,1
1968,Free Jazz,11
1991,Quechua,2
1979,Sound Poetry,4
1994,Psychobilly,3
2006,Atmospheric Black Metal,2
2015,Boogaloo,4
2015,Nursery Rhymes,5
1974,Score,8
2018,Raï,6
2016,New Jack Swing,12
1991,Aboriginal,2
0,Beatbox,8
1977,Acid Rock,1
2002,Pacific,10
1983,Pub Rock,1
1974,Opera,3
2011,Ragtime,1
2010,Western Swing,1
2008,Népzene,1
2004,Texas Blues,1
2001,Techno,6311
2003,Progressive House,3305
1998,Jungle,747
1986,Hi NRG,1033
1999,Progressive House,1935
2000,Progressive House,2542
1994,Experimental,2508
1999,Drum n Bass,3364
2003,Garage House,920
1995,Progressive House,1888
2004,Post Rock,302
1992,Abstract,532
1995,Big Beat,311
1978,Prog Rock,344
1994,New Wave,575
1996,Dub Techno,63
2001,Blues Rock,59
2002,Hard Techno,48
1972,Easy Listening,79
1977,Abstract,78
1999,Comedy,27
1993,Ragga HipHop,187
2007,Broken Beat,760
1983,Power Pop,70
1988,Field Recording,36
2003,Classical,43
2004,Aboriginal,12
2011,Afrobeat,81
2010,Soundtrack,450
1986,Lo-Fi,24
2012,Chiptune,966
1995,Folk Rock,144
2014,Punk,473
2012,Dance-pop,650
2009,Contemporary R&B,70
2016,Italodance,194
1997,Country,60
